fonte_documento,data_riferimento,serie,valore_atteso,unita,nota
Altri_casi_studio.pptx slide 2,2026-04-29,infezione_oidio,0.08,indice,"tooltip DSS, stazione Marano di Valpolicella"
Altri_casi_studio.pptx slide 2,2026-04-21,latenza_oidio,96,pct,"tooltip DSS, letto al 29/04"
Altri_casi_studio.pptx slide 2,2026-04-29,latenza_oidio,11,pct,tooltip DSS
Altri_casi_studio.pptx slide 2,2026-04-25,sporulazione_prevista,1,bool,DSS prevede sporulazione dal 25/04
Altri_casi_studio.pptx slide 2,2026-04-28,sporulazione_osservata,1,bool,"osservata su testimone non trattato, delta 3 giorni"
